nohup: ignoring input
=================================================
TRAINING BTCUSDT 1h
=================================================

Training model for BTCUSDT 1h...
2026-06-23 11:14:25 | ml_trading | INFO | Database schema initialized
2026-06-23 11:14:25 | ml_trading | INFO | Database initialized at /root/app/ml-project/ml-trading-dashboard/ml_service/storage/database.db
Loaded 17758 candles
Loaded 17758 BTC candles for correlation
Loaded 2414 ES_proxy candles for correlation
2026-06-23 11:27:02 | ml_trading | INFO | Fold 212: train=13470, test=50, purge=12, embargo=12
2026-06-23 11:27:22 | ml_trading | INFO | Fold 213: train=13532, test=50, purge=12, embargo=12
2026-06-23 11:27:40 | ml_trading | INFO | Fold 214: train=13594, test=50, purge=12, embargo=12
2026-06-23 11:27:43 | ml_trading | INFO | Fold 215: train=13656, test=50, purge=12, embargo=12
2026-06-23 11:27:46 | ml_trading | INFO | Fold 216: train=13718, test=50, purge=12, embargo=12
2026-06-23 11:27:49 | ml_trading | INFO | Fold 217: train=13780, test=50, purge=12, embargo=12
2026-06-23 11:27:52 | ml_trading | INFO | Fold 218: train=13842, test=50, purge=12, embargo=12
2026-06-23 11:27:54 | ml_trading | INFO | Fold 219: train=13904, test=50, purge=12, embargo=12
2026-06-23 11:27:58 | ml_trading | INFO | Fold 220: train=13966, test=50, purge=12, embargo=12
2026-06-23 11:28:03 | ml_trading | INFO | Fold 221: train=14028, test=50, purge=12, embargo=12
2026-06-23 11:28:07 | ml_trading | INFO | Fold 222: train=14090, test=50, purge=12, embargo=12
2026-06-23 11:28:10 | ml_trading | INFO | Fold 223: train=14152, test=50, purge=12, embargo=12
2026-06-23 11:28:13 | ml_trading | INFO | Fold 224: train=14214, test=50, purge=12, embargo=12
2026-06-23 11:28:15 | ml_trading | INFO | Fold 225: train=14276, test=50, purge=12, embargo=12
2026-06-23 11:28:18 | ml_trading | INFO | Fold 226: train=14338, test=50, purge=12, embargo=12
2026-06-23 11:28:22 | ml_trading | INFO | Fold 227: train=14400, test=50, purge=12, embargo=12
2026-06-23 11:28:25 | ml_trading | INFO | Fold 228: train=14462, test=50, purge=12, embargo=12
2026-06-23 11:28:28 | ml_trading | INFO | Fold 229: train=14524, test=50, purge=12, embargo=12
2026-06-23 11:28:34 | ml_trading | INFO | Fold 230: train=14586, test=50, purge=12, embargo=12
2026-06-23 11:28:38 | ml_trading | INFO | Fold 231: train=14648, test=50, purge=12, embargo=12
2026-06-23 11:28:41 | ml_trading | INFO | Fold 232: train=14710, test=50, purge=12, embargo=12
2026-06-23 11:28:45 | ml_trading | INFO | Fold 233: train=14772, test=50, purge=12, embargo=12
2026-06-23 11:28:47 | ml_trading | INFO | Fold 234: train=14834, test=50, purge=12, embargo=12
2026-06-23 11:28:50 | ml_trading | INFO | Fold 235: train=14896, test=50, purge=12, embargo=12
2026-06-23 11:28:52 | ml_trading | INFO | Fold 236: train=14958, test=50, purge=12, embargo=12
2026-06-23 11:28:55 | ml_trading | INFO | Fold 237: train=15020, test=50, purge=12, embargo=12
2026-06-23 11:29:00 | ml_trading | INFO | Fold 238: train=15082, test=50, purge=12, embargo=12
2026-06-23 11:29:05 | ml_trading | INFO | Fold 239: train=15144, test=50, purge=12, embargo=12
2026-06-23 11:29:10 | ml_trading | INFO | Fold 240: train=15206, test=50, purge=12, embargo=12
2026-06-23 11:29:14 | ml_trading | INFO | Fold 241: train=15268, test=50, purge=12, embargo=12
2026-06-23 11:29:18 | ml_trading | INFO | Fold 242: train=15330, test=50, purge=12, embargo=12
2026-06-23 11:29:21 | ml_trading | INFO | Fold 243: train=15392, test=50, purge=12, embargo=12
